UNITID,MISTNO,INSTDATE,MODIFIED_DT,SIGN_CODE,SIGN_DSCRN,SIGN_SIZE,SIGN_TYPE,STATUS_CD,SUPPORT_TYPE,POINT
1109986160,0483,2015/06/12,2016/09/16,11-245,,600x1350,Flat Sheet,Active,,POINT (-114.0741857 51.039796)
1109775807,B2781,2014/03/04,2019/05/16,,,,Flat Sheet,Active,,POINT (-114.0708099 51.1174963)
1109714654,0735,1989/01/01,2012/07/20,,,,Flat Sheet,As-built,,POINT (-114.0293694 50.9411801)
1109745145,6012,2014/03/01,2015/12/04,,,,Other,Active,Pedestal,POINT (-114.0203249 51.0558895)
1109801625,0596,2014/08/07,2015/04/24,,,,Flat Sheet,As-built,,POINT (-114.0525505 50.9937426)
1109768223,1101,2013/10/17,2014/02/13,11-250,KRMS,,Flat Sheet,Active,,POINT (-113.9576508 50.9165372)
1110077164,1015,2017/10/26,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.1969592 51.1542101)
1109626959,0494,2020/12/02,2020/12/07,11-250,KRMS,600x750,Flat Sheet,Active,Pedestal,POINT (-114.2109842 51.0594918)
1110335462,1043,2023/12/18,2023/12/19,,Train,,LED,Active,Arm,POINT (-114.0613304 51.0160256)
1110303151,B2514,2021/01/18,2021/04/13,14-320,TAC Pedestrian Crosswalk,900x1200,Other,Active,Arm,POINT (-114.0758307 51.1115973)
1110009740,B2585,2013/09/24,2019/07/09,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.1022882 51.0576832)
1110111267,0268,2018/07/23,2019/05/28,11-647,Turn Control - Thru + Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.0317578 51.0474608)
1110006538,0944,2005/07/07,2016/07/25,17-110,YOSG,750X900,Flat Sheet,As-built,Pedestal,POINT (-114.0639039 51.1469428)
1109653361,1049,2012/08/23,2020/01/30,11-244,One way - Arrow Left,450x1350,Flat Sheet,As-built,Arm,POINT (-113.9498145 51.1252348)
1110147910,0634,2004/03/21,2018/11/13,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0715661 50.9939707)
1109356240,0201,2008/07/21,2017/05/17,11-950,Reserved Lane (HOV),900x1500,Flat Sheet,As-built,Arm,POINT (-114.0626219 51.0667829)
1109684075,0102,2011/05/04,2015/11/30,11-651,Turn Control - Thru,900x900,Flat Sheet,Active,Arm,POINT (-114.1648619 51.1055999)
1110204087,1168,2018/08/21,2019/01/03,SPECIAL,Reserved Lane,,Flat Sheet,As-built,Arm,POINT (-113.9661454 51.0378187)
1110242068,B0001,2019/12/17,2020/05/29,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.1058037 50.9177268)
1110243422,,2019/11/19,2020/06/02,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0716514 51.0731425)
1110011748,B2822,2016/09/30,2019/05/06,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Pedestal,POINT (-114.1313857 51.0743602)
1110267730,B0036,2020/06/15,2020/11/04,14-320,TAC Overhead Flasher,900x1200,Other,As-built,Arm,POINT (-113.9367639 50.9007992)
1110054310,2817,2017/06/10,2017/12/04,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-113.9987808 50.9831259)
1109974947,B2810,2015/12/28,2019/05/13,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9408497 51.1105239)
1110288125,1113,2021/05/05,2021/05/05,11-646,Turn Control - Right,900x900,Flat Sheet,Active,Arm,POINT (-114.1383952 51.0376949)
1110008149,0545,1982/01/01,2016/05/12,11-810,No Turns,900x900,Flat Sheet,As-built,Arm,POINT (-114.1184187 51.0238937)
1109708055,0318,2016/05/30,2017/04/18,11-224,No Turn on Red - Arrow Left,600x900,Flat Sheet,As-built,Arm,POINT (-114.0839064 51.0479792)
1110318701,1214,2021/05/04,2022/06/13,11-646,Turn Control - Right,900x900,Flat Sheet,As-built,Arm,POINT (-114.0275856 50.8619316)
1110030134,0833,2001/10/04,2022/02/22,11-656,Turn Control - Left + Right,900x1350,Flat Sheet,Active,Arm,POINT (-114.0747932 50.9241276)
1110142789,0236,1981/10/29,2021/02/25,11-243/11-654,One Way - Arrow Left/Turn Control - Dual Left,900x900,Varicom,As-built,Arm,POINT (-114.0614285 51.0542069)
1110156138,0320,2013/07/09,2018/06/04,,Right Turn Prohibited,11-806,Flat Sheet,As-built,Arm,POINT (-114.0788721 51.0479575)
1109725395,B2779,2013/04/16,2019/04/05,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0649888 51.1517338)
1110013041,0049,1993/05/30,2016/06/14,11-754,Turn Control - Dual Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.0949923 51.0895459)
1110263446,0685,1993/01/01,2020/01/16,11-250,Keep Right,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0715617 50.968815)
1109355798,B2657,2002/06/05,2021/02/25,14-302,Pedestrian Crosswalk Ahead,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.0773902 50.9755129)
1110035443,0491,2016/07/26,2016/10/05,SPECIAL,Bike Push Button,,Flat Sheet,Active,Trunk,POINT (-114.0778729 51.0558188)
1110102739,0219,2018/06/21,2019/02/04,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9584283 51.0620142)
1110249880,B2756,2020/02/12,2020/06/15,14-308,Keep Right,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0476205 51.1569834)
1110452732,0013,2006/02/08,2024/01/04,11-654,Turn Control - Dual Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.1640155 51.1377294)
1109997963,0616,2007/08/15,2020/02/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.083178 50.9956452)
1110238540,0840,2004/09/17,2020/09/17,11-250,Keep Right,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0416796 50.9840937)
1110175902,1168,2018/08/21,2019/01/03,SPECIAL,Turn Control - Shared Left Turn/U-Turn,900x900,Flat Sheet,As-built,Trunk,POINT (-113.966125 51.0378041)
1110085618,B2895,2017/09/13,2019/04/29,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Streetlight,POINT (-114.1860585 51.088284)
1109720806,0164,2010/05/25,2012/10/01,special,turn control - dual left+right,900mm x 1350mm,Flat Sheet,As-built,Arm,POINT (-113.9353044 51.0701378)
1110356909,B0053,2022/03/01,2023/12/14,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Streetlight,POINT (-114.0585737 51.1643467)
1109797721,0562,2014/12/08,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0628134 51.0184884)
1109354569,0295,2001/01/01,2017/07/27,11-240,Do Not Enter,900x900,Flat Sheet,As-built,Trunk,POINT (-114.0716494 51.0494682)
1110394265,1213,2023/01/23,2023/07/27,11-250,Keep Right,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.028781 50.8659729)
1109932709,0193,2005/06/19,2017/12/19,11-005,Yield On Solid Green,750x900,Flat Sheet,As-built,Trunk,POINT (-114.1064942 51.0669867)
1110244462,1179,2019/12/31,2020/06/01,,Keep Right,11-250,Flat Sheet,As-built,Pedestal,POINT (-113.9468032 51.132246)
1110034236,0065,2003/12/10,2016/09/29,11-654,Turn Control - Dual Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.197992 51.1243888)
1109634061,B2632,2003/12/13,2019/07/12,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.0787783 51.0249718)
1110028983,0351,1993/05/12,2016/09/09,11-240,Do Not Enter,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.0702785 51.0457286)
1109804921,B2798,2015/01/21,2019/05/16,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.2013893 51.0888662)
1109998089,1140,2015/05/15,2016/02/05,11-808,Turn Left,900x900,Flat Sheet,Active,Trunk,POINT (-114.0875366 51.0491413)
1110342703,B2783,2021/10/06,2022/06/20,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.0994495 51.042509)
1110209799,1167,2018/09/19,2019/01/29,,Reserved Lane,,Flat Sheet,As-built,Arm,POINT (-113.9724499 51.0378359)
1110238387,0358,2018/01/18,2020/09/18,11-224,No Left Turn on Red,600x900,Flat Sheet,As-built,Arm,POINT (-113.9814923 51.0453059)
1110126523,0740,2003/12/17,2022/02/22,13-170,Signals Ahead,1200x1200,Flat Sheet,Active,Arm,POINT (-114.0689304 50.9378528)
1110240074,0631,2019/09/22,2019/10/07,11-240,Do Not Enter,900x900,Flat Sheet,Active,Trunk,POINT (-114.1181428 50.9999325)
1110145132,0363,2001/10/31,2018/03/22,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.1814235 51.0522077)
1109783324,0927,2008/11/02,2020/11/27,13-163,Prepare To Stop,1500x1500,Other,As-built,Arm,POINT (-114.125006 51.1421471)
1110085685,1267,2017/11/09,2022/02/25,SPECIAL,Ambulance Sign,,Flat Sheet,Active,Arm,POINT (-114.05882 51.036736)
1110249323,0043,2019/12/12,2020/01/14,11-250,Keep Right,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.1664603 51.1206274)
1109767582,B2772,2013/10/30,2019/05/16,14-308,Pedestrian Crosswalk,600x900,Flat Sheet,Active,Trunk,POINT (-114.1553562 51.1188825)
1109732910,B2755,2012/12/06,2019/05/16,14-320,TAC Pedestrian Corridor,900X1200,Other,As-built,Arm,POINT (-114.0993023 51.0443229)
1110001755,B2673,2016/03/14,2019/07/02,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Trunk,POINT (-114.0610015 50.9437728)
1110121229,0675,2020/01/23,2020/06/16,11-250,KRMS,600x750,Flat Sheet,As-built,Trunk,POINT (-114.0951051 50.9724299)
1110443939,1185,2020/02/28,2023/07/20,11-656,Turn Control - Left + Right Two Lanes,900x1350,Flat Sheet,As-built,Arm,POINT (-114.1544435 51.1728679)
1109996939,0235,2010/10/21,2016/02/02,11-645,Turn Control - arrow left,900x900,Flat Sheet,As-built,Arm,POINT (-114.105557 51.0572694)
1110070902,191SS,1971/01/01,2017/04/12,11-651,Turn Control - Thru,900x900,Flat Sheet,As-built,Arm,POINT (-114.0273549 51.0674692)
1110007860,0546,2016/05/07,2023/08/17,11-810,No Turns,900x900,Flat Sheet,As-built,Arm,POINT (-114.117372 51.0240255)
1110027086,0026,2013/11/24,2016/08/24,17-110,Yield On Solid Green,750x900,Flat Sheet,As-built,Pedestal,POINT (-114.0526589 51.1105956)
1110044484,0657,2024/01/08,2024/01/16,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0158107 50.9755493)
1110077073,0862,2017/02/17,2017/05/10,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,Active,Arm,POINT (-113.9581672 50.9343716)
1109623972,1035,2010/03/01,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.2570576 51.1484816)
1110073009,B2888,2017/09/06,2019/04/29,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Pedestal,POINT (-113.9638229 51.0632194)
1110325901,1023,2021/05/18,2021/05/20,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,Active,Arm,POINT (-114.00185 51.0555162)
1110022281,0944,2005/07/07,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0639218 51.1469175)
1109715806,0381,2015/06/18,2020/08/04,11-806,No Right Turns - Except Bicycles,900x900,Flat Sheet,As-built,Arm,POINT (-114.0558517 51.0442977)
1110057364,B2860,2017/06/13,2019/04/29,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.120158 51.0523758)
1110222362,B0010,2019/08/01,2019/12/31,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.2136944 51.0152464)
1110223611,0217,1990/11/05,2019/05/14,11-654,Turn Control - Dual Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.1291269 51.0663841)
1109707135,0908,2019/10/29,2019/11/05,11-652,Turn Control - Dual Left + Thru,900x900,Flat Sheet,As-built,,POINT (-114.0384422 51.1414595)
1110296605,0538,2020/11/20,2020/12/03,11-654,Turn Control - Dual Left,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.1662727 51.0180561)
1110209611,0466,2018/09/23,2020/10/29,,No Right Turn,900x900,LED,As-built,Arm,POINT (-113.9698936 51.0380175)
1109355173,0024,2008/11/22,2013/09/03,11-652,Turn Control - Dual Left + Thru,900x900,Flat Sheet,As-built,Arm,POINT (-114.0569881 51.1104872)
1109995370,B2800,2015/02/08,2023/08/15,14-320,TAC Pedestrian Corridor Sign,900x1200,Other,As-built,Arm,POINT (-114.0393079 51.0427951)
1109610268,1003,2010/07/26,2018/08/08,11-005,YOSG,750x900,Flat Sheet,As-built,Pedestal,POINT (-114.1255569 51.1613688)
1110068339,B2820,2017/06/13,2019/04/29,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0800579 51.1579301)
1110138972,0036,2018/06/20,2018/10/22,11-646,Turn Control - Arrow Right Excep CT,900x900,Flat Sheet,As-built,Arm,POINT (-113.9585749 51.0982121)
1110023938,1117,2016/06/06,2018/10/03,11-250,KRMS,600x750,Flat Sheet,Active,Pedestal,POINT (-113.9106663 51.0401524)
1110305621,0002,2021/01/07,2022/12/15,11-647,Turn Control - Thru + Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.081684 51.1381063)
1110318513,1116,2021/04/01,2021/04/06,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,Active,Arm,POINT (-113.9108581 51.0425476)
1109794656,0538,1997/05/16,2017/03/23,11-246,ONE WAY - ARROW RIGHT,450mm x 1350mm,Flat Sheet,As-built,Arm,POINT (-114.1659077 51.0179326)
1110185038,0363,2019/08/28,2019/12/09,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.181085 51.0530945)
1109717371,B2725,2004/07/08,2019/06/11,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.0947236 51.0313614)
1110070330,B2851,2017/09/01,2019/04/29,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Streetlight,POINT (-113.9888628 51.0744772)
1109754794,B2625,1987/01/01,2019/06/26,14-318,Pedestrian Corridor,750x3000,Other,As-built,Arm,POINT (-114.0688757 51.0325023)
1109356164,0603,2004/08/04,2010/08/03,11-648,lane control right+thru,900x900,Flat Sheet,As-built,Arm,POINT (-114.0637245 51.0015004)
1109748688,B2554,2005/10/11,2019/07/25,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,,POINT (-114.084719 51.0733238)
1110318620,B0059,2021/05/17,2021/05/18,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Pedestal,POINT (-114.0763177 51.0705997)
1110201505,0621,2018/12/02,2018/12/13,11-648,Turn Control - Thru + Right,900x900,Flat Sheet,As-built,Arm,POINT (-114.0719363 50.997786)
1110082482,B2667,2017/09/19,2019/06/26,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.044289 50.960028)
1110332539,1245,2021/11/05,2021/11/09,11-646,Turn Control - Right,900x900,Flat Sheet,Active,Arm,POINT (-113.9816941 51.0361323)
1110004546,B2500,2013/05/23,2019/06/26,14-301,Pedestrian Ahead,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.0874112 51.1321244)
1109996265,1132,2015/01/23,2018/08/09,11-649,Turn Control - Left + Right,900x900,Flat Sheet,As-built,Arm,POINT (-114.1431525 51.1709485)
1109356452,0930,2005/02/22,2018/03/19,11-005,YOSG,750x900,Flat Sheet,As-built,Pedestal,POINT (-114.060776 51.1541929)
1110053968,6021,2017/10/11,2019/02/04,DMS,Dynamic Message Sign,1850x1190,LED,As-built,Arm,POINT (-114.0904564 51.0453493)
1110303454,B0043,2021/02/09,2021/02/09,11-250,Keep Right,600x750,Flat Sheet,Active,Trunk,POINT (-113.936849 51.1251964)
1110175913,1168,2018/08/21,2019/01/03,11-250,KRMS Except CT,600x750,Flat Sheet,As-built,Trunk,POINT (-113.9653766 51.0377781)
1110065682,0403,1978/01/01,2017/03/07,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.0742156 51.0426402)
1110143342,0012,2018/06/06,2018/10/11,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.1439053 51.1634902)
1110120421,0204,2017/11/12,2018/12/11,SPECIAL,Bus Priority Signal,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.042128 51.066837)
1110292147,B0038,2021/01/26,2021/01/27,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Trunk,POINT (-114.1410612 51.0332467)
1109720801,B2775,2012/09/25,2019/05/30,14-320,Pedestrian Corridor,900x1200,Flat Sheet,As-built,Arm,POINT (-113.9490902 51.0532694)
1109539807,1064,2010/12/03,2017/03/13,SPECIAL,Turn Control - Dual Left + Right,900x900,Flat Sheet,As-built,Arm,POINT (-113.9578527 50.9288405)
1110408771,B0081,2023/04/27,2023/08/01,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.2212166 51.0887303)
1109799869,0992,2014/03/30,2016/03/07,SPECIAL,Special Lane Control Sign,900x900,Flat Sheet,As-built,Arm,POINT (-114.0714023 51.0342073)
1110067095,0168,2001/11/28,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0019793 51.0734197)
1110001919,1060,2018/03/02,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0016334 51.1565962)
1110020902,B2846,2016/11/17,2019/05/06,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Pedestal,POINT (-114.067656 51.1586012)
1109708049,0318,2001/01/01,2017/04/18,11-244,One way - Arrow Left,450x1350,Flat Sheet,As-built,Arm,POINT (-114.0839027 51.0480294)
1110022257,B2827,2016/11/02,2019/05/21,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0245207 50.8808767)
1110047333,0056,2016/12/04,2017/12/11,11-652,Turn Control - Left + Thru,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.033377 51.0962834)
1110318350,0209,2021/03/08,2021/07/21,SPECIAL,No Dual Turns (Text Only),,Flat Sheet,As-built,Arm,POINT (-114.0133159 51.067196)
1110058619,B2858,2017/12/15,2019/04/29,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Streetlight,POINT (-114.1138451 51.0087803)
1109356135,0645,2006/06/03,2018/08/09,SPECIAL,Turn Control - Two Lanes Left + Thru/Right,900x1200,Flat Sheet,As-built,Arm,POINT (-114.0829934 50.9923976)
1110316404,0512,2021/06/01,2021/06/02,11-250,Keep Right,600x750,Flat Sheet,Active,Pedestal,POINT (-114.156033 51.0882635)
1109355997,0820,2010/10/07,2010/06/02,17-110,YOSG,750x900,Flat Sheet,As-built,Trunk,POINT (-114.1002665 50.9140343)
1109672873,B2730,2012/01/12,2019/05/30,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.0535574 50.9797318)
1110119499,0008,2015/10/09,2017/11/20,11-647,Turn Control - Thru + Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.0527087 51.1280271)
1109546474,B2663,2002/06/04,2019/07/09,14-302,pedestrian ahead,900x900,Flat Sheet,As-built,Streetlight,POINT (-114.0848371 50.9694551)
1110093035,B2850,2017/09/27,2019/12/16,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.1782872 51.0849371)
1110479012,0660,2024/02/08,2024/02/22,11-806,Right Turn Prohibited Except Transit,900x900,Flat Sheet,Active,Arm,POINT (-114.095791 50.9796491)
1110239140,B0008,2019/11/21,2019/12/02,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Pedestal,POINT (-113.9656174 50.9191929)
1109708404,0310,2001/01/01,2020/12/16,11-646,Turn Control - Right,900x900,Flat Sheet,As-built,Arm,POINT (-114.067664 51.0486461)
1109708431,0297,,2013/05/17,11-245,One Way - Arrow Right,450x1350,Flat Sheet,Active,,POINT (-114.0678198 51.0493672)
1110019367,2702,2001/06/21,2016/07/08,14-318,Pedestrian Corridor,750x3000,Other,As-built,Arm,POINT (-114.0484323 50.9684428)
1109355094,2686,1999/08/11,2013/08/29,14-318,Pedestrian Corridor,750x3000,Other,As-built,Arm,POINT (-114.1641602 51.088475)
1110025503,0605,2016/10/20,2016/11/03,11-654,Turn Control - Dual Left,900x900,Flat Sheet,Active,Pedestal,POINT (-114.0483068 51.0014458)
1110342661,0999,2021/10/04,2021/10/28,SPECIAL,Bike Use Pedestrian Signal Bike,450x600,Flat Sheet,Active,Trunk,POINT (-114.0675997 51.0523727)
1109708375,0455,2002/10/27,2017/08/10,SPECIAL,Turn Control - Left + Thru/Right Two Lanes,900x1350,Flat Sheet,As-built,Arm,POINT (-114.0685505 51.0377417)
1110049908,B2865,2017/04/12,2019/04/29,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Pedestal,POINT (-114.1091575 50.9019731)
1110025218,0122,2022/09/25,2022/10/25,11-250,KRMS,600x750,Flat Sheet,Active,Pedestal,POINT (-114.1537659 51.0884514)
1109669722,2599,2014/03/13,2016/05/20,14-302,Pedestrian Crosswalk Ahead,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.0503164 51.0541773)
1110047221,0056,2016/12/04,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0334264 51.0958787)
1110009764,0344,2004/07/01,2016/05/26,SPECIAL,Caution Watch for C-Train,,Flat Sheet,As-built,Pedestal,POINT (-114.0553338 51.0462066)
1110466715,0627,1997/08/20,2023/11/10,11-250,Keep Right,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.1707167 51.0172271)
1109667255,0002,2007/08/26,2022/12/15,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0816793 51.1380238)
1109355491,0295,2001/01/01,2013/05/17,11-244,One way - Arrow Left,450x1350,Flat Sheet,As-built,Arm,POINT (-114.0715212 51.0497141)
1110242522,B0016,2020/10/15,2023/08/04,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0686079 51.0369911)
1109356726,B2733,2005/08/01,2019/03/18,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.0814397 51.0094638)
1110038618,B2598,2016/08/08,2019/07/12,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Trunk,POINT (-114.0919152 51.052582)
1110061143,B2885,2017/06/14,2019/04/29,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9650871 50.9164999)
1110073253,B2864,2017/08/09,2019/04/29,14-308,Pedestrian Corridor,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0204913 50.9731858)
1109629310,0212,2009/11/01,2023/11/01,11-654,Turn Control - Dual Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-113.9353497 51.0669432)
1110441755,B2745,2023/08/16,2024/01/09,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9925458 51.0465871)
1109708394,0325,2011/10/03,2016/12/27,11-649,Turn Control - Thru + Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.0677779 51.0476811)
1110079836,0086,2006/06/02,2017/09/25,13-423,Cross Hatch Right,300x900,Flat Sheet,As-built,Pedestal,POINT (-113.9817877 51.0882617)
1109356396,0666,2007/09/10,2018/05/10,13-163,Prepare To Stop,1500X1500,Flat Sheet,As-built,Arm,POINT (-114.0489256 50.9793255)
1109634562,0533,2008/06/27,2018/08/29,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0120601 50.9631932)
1110425353,1279,2023/08/15,2023/08/15,11-651,Turn Control - Thru,900x900,Flat Sheet,Active,Arm,POINT (-114.1092096 51.0231941)
1110213730,0277,2019/03/06,2019/04/25,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,Active,Pedestal,POINT (-113.9770503 51.0525422)
1109356194,B2739,2007/04/22,2019/06/11,11-832,Left Turn Restriction M-F 1530-1800,600x900,Flat Sheet,As-built,Trunk,POINT (-114.0626264 51.0587318)
1110220575,1023,2009/11/08,2019/04/23,11-804,Left Turn Prohibited,900x900,Flat Sheet,As-built,Arm,POINT (-114.0017276 51.0553529)
1109634558,0533,2008/06/27,2018/08/28,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0122119 50.9636867)
1110209566,0466,2018/09/23,2020/10/28,,No Right Turn,900x900,LED,As-built,Arm,POINT (-113.9701109 51.0375933)
1110006697,B2549,2005/12/01,2019/07/25,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.2109445 51.0939627)
1110252143,0651,1982/10/07,2019/11/05,11-005,Yield On Solid Green,750x900,Flat Sheet,As-built,Trunk,POINT (-113.9818658 50.9896219)
1110203211,1162,2018/08/30,2018/12/27,,Reserved Lane,,Flat Sheet,As-built,Arm,POINT (-113.9754037 51.0378297)
1110064727,B2861,2017/06/15,2019/04/29,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0368995 51.0362796)
1110076806,0061,2006/09/18,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9350996 51.0963174)
1109354871,B2640,2010/10/12,2019/07/12,14-308,Pedestrian Crosswalk,600x900,Flat Sheet,As-built,Pedestal,POINT (-114.1316126 50.994659)
1109789493,0039,2014/05/14,2015/02/06,2,Yield on Solid Green,750mm X 900mm,Flat Sheet,Active,Pedestal,POINT (-113.958393 51.0997146)
1110217252,B2707,2019/05/14,2020/12/08,14-320,TAC Pedestrian Crosswalk,900x1200,Other,Active,Arm,POINT (-114.1250193 51.0707208)
1110114655,1032,2017/12/17,2018/02/28,11-240,Do Not Enter,900x900,Flat Sheet,Active,Arm,POINT (-113.9982536 50.9524832)
1110452380,0321,2000/01/01,2023/08/18,11-244,One Way - Arrow Left,450x1350,Flat Sheet,As-built,Arm,POINT (-114.0761555 51.0479251)
1109986126,0349,2015/06/12,2016/02/03,11-245,ONE WAY EXCEPT BICYCLES,600X1350,Flat Sheet,As-built,Arm,POINT (-114.073747 51.0458147)
1110192915,0463,2018/10/21,2019/09/26,11-646,Turn Control - Arrow Right,900x900,Flat Sheet,Active,Arm,POINT (-113.9931696 51.0376809)
1109596100,B2663,2010/04/22,2019/07/09,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.0847651 50.9688195)
1110212312,0770,2019/04/22,2019/04/25,,Turn Control - Left + Thru (2 Lanes),900x900,Flat Sheet,Active,Arm,POINT (-114.0953537 51.0643207)
1109748685,B2777,2014/09/25,2019/05/16,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.1209861 51.0047681)
1110035024,0837,2016/05/26,2018/10/03,11-250,KRMS,600x750,Flat Sheet,Active,Pedestal,POINT (-114.0703662 50.8980517)
1109957416,2652,2005/10/12,2016/07/21,14-320,TAC Pedestiran Corridor,900X1200,Other,As-built,Arm,POINT (-114.0603081 50.9848556)
1110192002,0825,2021/09/05,2021/09/13,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,Active,Pedestal,POINT (-113.9341498 50.9796195)
