UNITID,MISTNO,INSTDATE,MODIFIED_DT,SIGN_CODE,SIGN_DSCRN,SIGN_SIZE,SIGN_TYPE,STATUS_CD,SUPPORT_TYPE,POINT
1110127725,B2737,2017/10/23,2019/06/11,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0880343 50.9796855)
1110134750,0722,2018/11/13,2021/04/16,11-654,Turn Control - Dual Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.0947428 50.9506926)
1110416285,B0074,2023/05/30,2023/08/10,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.0027562 50.9430842)
1110025771,0851,2001/10/30,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9813487 50.9506493)
1109666532,0634,2011/07/24,2019/12/12,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.0715135 50.9944636)
1109672014,0276,2010/08/08,2018/03/12,11-654,Turn Control - Dual Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-113.9820195 51.0519942)
1110076805,0061,2023/07/28,2023/10/13,11-654,Turn Control - Dual Left,900x900,Flat Sheet,Active,Pedestal,POINT (-113.9348851 51.0961066)
1109736869,1098,2013/03/19,2017/01/11,11-250,KRMS,600x750,Flat Sheet,As-built,,POINT (-113.976105 50.8789526)
1110403357,B0018,2023/03/21,2023/03/21,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Trunk,POINT (-114.0539594 51.1612321)
1110018761,B2678,2008/08/22,2019/06/26,14-320,TAC Pedestrian Corridor,900x1200,Flat Sheet,As-built,Arm,POINT (-114.0227565 50.9317135)
1109628117,B2739,2007/04/22,2019/06/11,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.0624363 51.0587385)
1110210495,B2655,2019/01/16,2022/03/07,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.0639388 50.9796584)
1110236447,B0023,2019/10/29,2020/04/22,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9611052 51.0450988)
1110182853,0498,2002/12/27,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0596191 51.0307194)
1109707960,0370,2001/01/01,2016/09/15,11-244,One way - Arrow Left,450x1350,Flat Sheet,As-built,Arm,POINT (-114.0887784 51.0452006)
1109356971,0418,2003/08/07,2017/04/26,11-651,Turn Control - Thru,900x900,Flat Sheet,As-built,Arm,POINT (-114.0608615 51.0412764)
1109717794,B2724,2004/07/06,2020/03/10,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Trunk,POINT (-114.1343647 51.0815395)
1109798504,B2786,2014/08/22,2019/05/16,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.237565 51.1332171)
1109669706,2599,2007/09/11,2016/05/20,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.0507007 51.0545621)
1109708395,0325,2011/10/03,2016/12/27,11-244,One way - Arrow Left,450x1350,Flat Sheet,As-built,,POINT (-114.0677413 51.0476794)
1109356746,B2572,2016/09/14,2019/07/02,14-320,TAC Pedestrian Corridor,900x1200,Other,Active,Arm,POINT (-113.9447231 51.070921)
1110143237,0750,2018/06/28,2018/10/03,11-250,KRMS,600x750,Flat Sheet,Active,Pedestal,POINT (-114.1609831 51.168082)
1109716586,B2770,2012/08/30,2019/05/30,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-113.9366088 51.1205682)
1110224534,0761,2019/07/03,2019/07/10,,No Dual Turns,600x600,Flat Sheet,Active,Arm,POINT (-114.0553487 50.9064713)
1110322245,1033,2010/05/21,2021/04/19,11-764,Truck Prohibited Route,600x1050,Flat Sheet,As-built,Trunk,POINT (-114.2094316 51.1522125)
1110024789,0810,2009/07/20,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.2130215 51.1499727)
1110123284,1169,2018/07/10,2018/12/19,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Trunk,POINT (-113.9895729 51.0378722)
1110323452,1153,2021/09/17,2021/10/05,11-250,Keep Right,600x750,Flat Sheet,Active,Pedestal,POINT (-114.2436851 51.1071897)
1110181978,0511,1990/01/01,2018/09/11,11-720,No Trucks,600x600,Flat Sheet,As-built,Arm,POINT (-114.0715674 51.0295948)
1109715756,B2653,,2019/07/12,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.0604899 50.9838262)
1109356095,B2701,2002/05/01,2019/03/21,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.1065202 50.9723389)
1109751893,B2650,2013/06/20,2019/07/09,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.0450779 51.0331161)
1109354181,0279,1995/12/05,2018/04/12,11-654,Turn Control - Dual Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-113.965751 51.0960711)
1110052828,0352,2017/06/06,2018/05/15,SPECIAL,Left Turn Prohibited - Except by Permit,,Flat Sheet,As-built,Arm,POINT (-114.0679552 51.0457731)
