CROSS_STREET_NAME1,CROSS_STREET_NAME2,CROSSWALK_TYPE,CROSSWALK_COMP,NUMBER_OF_CROSSWALKS,MATERIAL,DIRECTION,POINT
SOUTHAMPTON DR SW,105 AVE SW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.0906365275749 50.958631482945954)
36 ST SE,DOVERIDGE DR SE,SIGNALIZED,STOP LINE,4,PAINT,NSEW,POINT (-113.98159928992568 51.02111643293587)
37 ST SW,MALL ENTRANCE,RSM,STOP LINE,1,PAINT,E,POINT (-114.14110632467326 51.04012126227197)
SKYVIEW CIRCLE NE,SKYVIEW RANCH DR NE,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.9510776180067 51.1569976702182)
4 ST NE,2 AVE NE,CORRIDOR,LADDER CROSSWALK,1,PAINT,S,POINT (-114.05165854070745 51.05466996547054)
BARLOW TR NE,32 AVE NE,RED LIGHT CAMERA,RIGHT TURN,4,PAINT,NSEW,POINT (-114.00172259534517 51.08148283598726)
COUNTRY HILLS BLVD NE,HOME DEPOT ENTRANCE,REGULAR,REGULAR CROSSWALK,2,PAINT,NW,POINT (-114.063858382657 51.15411810717736)
HIDDEN CREEK DR NW,HIDDEN CREEK GREEN NW,REGULAR,LADDER CROSSWALK,1,PAINT,E,POINT (-114.10426587744546 51.15493939533005)
68 ST NE,FALCONRIDGE DR NE,SIGNAL,RIGHT TURN,1,PAINT,W,POINT (-113.93514445731316 51.10143833529411)
4 ST SW,15 AVE SW,SIGNALIZED,STOP LINE,3,PAINT,NSW,POINT (-114.0715286576569 51.03881605801169)
50 ST NE,RUNDLEHORN DR NE,MULTIWAYS,REGULAR CROSSWALK,3,PAINT,NEW,POINT (-113.96129968849975 51.07164383329189)
ASPEN STONE BLVD SW,ASPEN STONE RD SW,RSM,REGULAR CROSSWALK,2,PAINT,EW,POINT (-114.21350128814 51.04095248523142)
CRANSTON BLVD SE,CRANLEIGH DR SE,CORRIDOR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-113.98708404159673 50.89360558083386)
MCKENZIE TOWNE DR SE,INVERNESS PARK SE,SCHOOL,LADDER CROSSWALK,2,PAINT,SW,POINT (-113.96918871072316 50.91147878145942)
32 AVE NE,26 ST NE,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.99819028328494 51.081515488770876)
42 AVE SE,9 ST SE,CORRIDOR,LADDER CROSSWALK,1,PAINT,E,POINT (-114.04068825532711 51.016021257363)
15 ST NE,STONEY BLVD NE,RSM,STOP LINE,1,PAINT,E,POINT (-114.02474232391727 51.165251112201815)
SYMONS VALLEY PARKWAY NW,EVANSTON WAY NW,SIGNALIZED,RIGHT TURN,2,PAINT,NS,POINT (-114.10056025859231 51.18078415368384)
DOVERIDGE DR SE,DOVER MEADOW CL SE,SCHOOL,LADDER CROSSWALK,1,PAINT,E,POINT (-113.98004618486382 51.021115599119454)
5 AVE SE,MACLEOD TR S,DOWNTOWN,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.05791874643892 51.04825200034179)
RIVERFRONT AVE SE,4 AV SE,DOWNTOWN,STOP X,1,MMA,E,POINT (-114.05287062440262 51.04933772151967)
46 ST NE,88 AV NE,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-113.96578753261605 51.13254055635267)
28 AVE NE,60 ST NE,REGULAR,REGULAR CROSSWALK,2,PAINT,EW,POINT (-113.94678989995994 51.07798066937668)
GLENMORE TR SE,OGDEN RD SE,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-113.99881650243161 50.97858884437494)
4 ST SE,3 ST SE,RSM,STOP LINE,1,MMA,WB,POINT (-114.05468037485824 51.048124010112176)
SANDSTONE DR NW,SANDARAC DR NW,REGULAR,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.10089843869291 51.138380146008586)
90 AVE SW,16 ST SW,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.1003983481525 50.97223621186082)
SPILLER RD SE,25 AV SE,SIGNAL,RIGHT TURN,1,PAINT,S,POINT (-114.05210914132543 51.02968906777144)
19 ST NW,6 AVE NW,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.10562484967484 51.0581934003975)
14 ST SW,29 AVE SW,CORRIDOR,LADDER CROSSWALK,1,PAINT,N,POINT (-114.09464674288134 51.027688196110844)
24 ST SE,107 AVE SE/ 18 ST SE,SIGNALIZED,RIGHT TURN,3,PAINT,SEW,POINT (-114.00121607144737 50.956523962282176)
CRANSTON DR SE,CRANBERRY WAY SE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-113.97551532757862 50.88851723631868)
16 AVE SW,12 ST SW,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.09162996433275 51.03841680931506)
