CROSS_STREET_NAME1,CROSS_STREET_NAME2,CROSSWALK_TYPE,CROSSWALK_COMP,NUMBER_OF_CROSSWALKS,MATERIAL,DIRECTION,POINT
16 AVE NW,5 ST NW,RSM,PARKING STALLS,6,PAINT,E,POINT (-114.08130604284372 51.06727641297475)
144 AVE NW,37 ST NW,RSM,STOP LINE,1,PAINT,S,POINT (-114.14111928809288 51.1831099606199)
SYMONS VALLEY RD NW,144 AVE NW,RSM,STOP LINE,1,PAINT,W,POINT (-114.13499902937271 51.18319156789337)
75 AVE SW,7 ST SW,MULTIWAY STOP,STOP LINE,4,PAINT,NSEW,POINT (-114.08128908263517 50.98601632264809)
37 ST NW,3 AV NW,SIGNALIZED,RIGHT TURN,1,PAINT,E,POINT (-114.14117612481596 51.06009319728565)
56 ST NE,28 AVE  NE,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-113.95217868789409 51.076895851193434)
CENTRE ST N,BLACKTHORN RD NE,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.06243904172544 51.10720890353025)
CRESTMONT BLVD SW,SOUTH OF 16 AVE SW,MID BLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.25438174278803 51.088040883571885)
69 ST SW,SPRINGBOROUGH BLVD SW,SIGNALIZED,RIGHT TURN,2,PAINT,EW,POINT (-114.18756009871487 51.035506569008824)
COUNTRY HILLS BLVD NE,HARVEST HILLS GATE NE,SIGNAL,RIGHT TURN,1,PAINT,S,POINT (-114.04801635162947 51.15424584529118)
CRANFORD DR SE,CRANARCH CLOSE,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-113.97329903858339 50.877230726636974)
BEDDINGTON BLVD NE,BEDDINGTON DR NE,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.06277220826087 51.12517650263958)
PANATELLA BLVD NW,PANATELLA ST NW,SCHOOL,LADDER CROSSWALK,1,PAINT,E,POINT (-114.09079753318558 51.16289570563292)
LAKE BONAVISTA DR SE,LAKE CRIMSON DR SE,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.03853091938737 50.93338792813213)
37 ST SW,15 AVE SW,RSM,STOP LINE,1,PAINT,W,POINT (-114.1412297227906 51.03968468262231)
SOUTHLAND DR SW,HORTON RD SW,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-114.07460727661982 50.96504429236161)
FISH CREEK BLVD SW,EVERBROOK DR SW,RSM,LADDER CROSSWALK,1,PAINT,N,POINT (-114.110034347283 50.91825650809923)
11 ST SE,21 AVE SE,REGULAR,STOP LINE,6,PAINT,NSE,POINT (-114.03672949104643 51.034084060648695)
2 AVE SW,5 ST SW,DOWNTOWN,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.07346066282551 51.05152211639884)
MACEWAN DR NW,MACEWAN PARK RD NW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.11453202588753 51.1354973675309)
NORTHMOUNT DR NW,HENDON DR NW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.0785740149061 51.095316333502794)
OLD BANFF COACH RD SW,89 ST SW,SIGNALIZED,STOP LINE,4,PAINT,NSEW,POINT (-114.21678020635387 51.06695355510654)
SIERRA MORENA RD SW,34 AVE SW,MULTIWAY STOP,RIGHT TURN,1,PAINT,S,POINT (-114.18431467423518 51.023292712392724)
OGDEN RD SE,80 AVE SE,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.998737775378 50.98139708045682)
SOUTHLAND DR,14 ST SW,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-114.09518849856411 50.96152191494216)
GLENMORE TR SE,18 ST SE,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.01613702559054 50.98231786368306)
BRIDLERIDGE HT SW,BRIDLERANGE GA SW,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.11314452679467 50.90313411039832)
RANCHVIEW DR NW,RANCH ESTATES DR NW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.1768805763463 51.119658315394446)
14 AVE NW,AT 1904 14 AVE NW,RSM,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.10437222873877 51.06519254548959)
40 ST SE,130M N OF 72 AVE,MID BLOCK,"""X"" RRXING",2,PAINT,NS,POINT (-113.97656909762046 50.99077070318936)
EVANSTON DR NW,EVANSFIELD GATE NW,RSM,STOP LINE,2,PAINT,NS,POINT (-114.11487011013939 51.1797795353875)
9 AVE SE,4 ST SE,DOWNTOWN,STOP X,3,MMA,SEW,POINT (-114.05323883766475 51.04433287337098)
48 AVE NW,81 ST NW,MULTIWAYS,REGULAR CROSSWALK,3,PAINT,SEW,POINT (-114.20517809954784 51.095876102766326)
MACLEOD TR S,61 AVE SE,SIGNAL,STOP LINE,4,PAINT,NSEW,POINT (-114.07154699589874 50.99774375592913)
FAIRMOUNT DR SE,78 AVE SE,SCHOOL,LADDER CROSSWALK,2,PAINT,SW,POINT (-114.06051261913146 50.983939032450515)
HARVEST HILLS DR NE,HARVEST OAK GATE NE,SCHOOL,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.06044832771603 51.14692174517473)
METIS TR NE,88 AVE,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.9702108211939 51.132646388442815)
68 ST SE,APPLEWOOD DR SE,SIGNALIZED,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-113.9350551687183 51.0455786478255)
136 AVE NW,SAGE BLUFF DR NW,RSM,REGULAR CROSSWALK,2,PAINT,NW,POINT (-114.13743330304847 51.17611264876001)
BOWNESS RD NW,64 ST NW,CORRIDOR,LADDER CROSSWALK,1,PAINT,W,POINT (-114.1818195120389 51.08650593236161)
64 AV NE,FALCONRIDGE BLVD,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-113.94692070873889 51.11063843904488)
44 ST SE,7 AVE SE,REGULAR,REGULAR CROSSWALK,3,PAINT,NEW,POINT (-113.96999634638205 51.0467150930694)
PROMENADE WAY SE,INVERNESS SQUARE SE,RSM,REGULAR CROSSWALK,2,PAINT,NS,POINT (-113.96834292603313 50.91366881242599)
23 AVE NW,BY PED RAMP,RSM,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.11670517319605 51.070981236142345)
SHAWNESSY DR SW,SHAWMEADOWS ROAD SW,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.07594407856806 50.9087139563988)
NORTHMOUNT DR NW,THORNCLIFFE DR NW,REGULAR,REGULAR CROSSWALK,2,PAINT,SE,POINT (-114.06527591736686 51.102630515843195)
WALDEN DR SE,WALDEN COMMON,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.0272795513288 50.867433363571976)
1 ST SE,RIVERFRONT AVE SE,RSM,PARKING STALLS,34,,E,POINT (-114.06010703180287 51.0503203081837)
GLENMORE TR SE,BARLOW TR SE,SIGNAL,REGULAR CROSSWALK,6,PAINT,NSEW,POINT (-113.98177239313166 50.97952603181501)
COUNTRY HILLS DR NW,COUNTRY HILLS GATE NW,RSM,LADDER CROSSWALK,1,PAINT,E,POINT (-114.07533832904295 51.1456508346156)
85 ST SW,8A AVE SW,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.21098049765281 51.06155490350417)
MADIGAN DR NE,4 AVE NE,SCHOOL,LADDER CROSSWALK,2,PAINT,NW,POINT (-113.94180938386994 51.05576154797699)
130 AVE SE,MT DOUGLAS POINT SE,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-113.9875395468993 50.9318985453301)
BERMUDA DR NW,BERNARD DR NW,SCHOOL,LADDER CROSSWALK,2,PAINT,EW,POINT (-114.08044549682052 51.13247249331116)
49 ST NW,19 AVE NW,RSM,STOP LINE,2,PAINT,NS,POINT (-114.16411378645462 51.07684463832241)
ELBOW DR SW,30 AVE SW,SIGNAL,STOP X,1,PAINT,N,POINT (-114.07883448508701 51.02639723687366)
MACLEOD TR S,75 AVE SE,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.07154772699315 50.98598627592208)
SPRINGBANK WAY SW,AT 7812 (PATHWAY),MID BLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.2002648955921 51.021397877310555)
GLENMOUNT DR SW,19 AVE SW,MULTIWAYS,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.15046275871156 51.03517042119969)
HOME RD NW,BOWNESS RD NW,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.16441541844871 51.07528040088757)
BARLOW TR SE,58 AVE SE,MID BLOCK,RIGHT TURN,2,PAINT,NS,POINT (-113.988652225355 51.001861206855395)
SIENNA PARK DR SW,SIENNA MORENA RD SW,MULTIWAY STOP,REGULAR CROSSWALK,3,PAINT,SEW,POINT (-114.18389276339379 51.02432770014087)
36 ST NE,24 AVE NE,RSM,RIGHT TURN,1,PAINT,N,POINT (-113.98146705580693 51.0737045476167)
BONAVENTURE DR SE,129 AVE SE,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.0646093666136 50.93676858953006)
9 AV SW,5 ST SW & 6 ST SW,MID BLOCK,PARKING STALLS,11,PAINT,N,POINT (-114.07540869725386 51.045019140516544)
90 AVE SW,OAKSIDE GATE SW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.12582693898939 50.97401247342288)
SAGE HILL DR NW,SAGE HILL RD NW,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.14122468876542 51.1736113075777)
EDGEVALLEY DR NW,EDGEVIEW DR NW,MULTIWAYS,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.14619522604667 51.12913261170791)
NORTHMOUNT DR NW,40 AVE NW,SIGNAL,STOP X,1,PAINT,E,POINT (-114.08552729148268 51.08883634534406)
36 ST SE,BTW 54 & 56 AVE SE,REGULAR,"""X"" RRXING",2,PAINT,NS,POINT (-113.9817185444048 51.00381352583498)
1 AVE NE,4 ST NE,SIGNAL,REGULAR CROSSWALK,2,PAINT,SW,POINT (-114.05171580942654 51.053472649767386)
SOUTHLAND DR SE,MAPLECREEK DR SE,REGULAR,STOP LINE,3,PAINT,EWS,POINT (-114.04238543907715 50.9645199943576)
14A ST SW,50 AV SW,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.09630581489371 51.00875030577754)
HOSPITAL DR NW,WEST CAMPUS BLVD,SIGNALIZED,STOP LINE,4,MMA,NSEW,POINT (-114.13811593425815 51.06551964521885)
14 AVE SW,11 ST SW,DOWNTOWN,STOP LINE,3,PAINT,NSE,POINT (-114.08904949404975 51.04025901345434)
68 ST NE,NORTH OF 16 AVE NE,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-113.9350866791765 51.070109186401645)
24 AVE NW,ULRICH RD,REGULAR,REGULAR CROSSWALK,2,MMA,EN,POINT (-114.13844721190983 51.07433619964644)
MIDRIDGE DR SE,MIDLAWN PL,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.06313363999166 50.917687011669884)
NORTHMOUNT DR NW,BUTTON RD NW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.13845960586497 51.09601393282446)
27 ST SE,150M W OF 54 AVE AT RRXING CN RAIL ENTRANCE,MID BLOCK,"""X"" RRXING",2,PAINT,NS,POINT (-113.99492324907447 51.00651260476488)
SHAGANAPPI TR NW,UNIVERSITY AVE NW,SIGNALIZED,RIGHT TURN,2,PAINT,NE,POINT (-114.15219083023523 51.07677444866973)
SYMONS VALLEY RD NW,200M EAST OF KINCORA BV NW,SIGNALIZED,STOP LINE,3,PAINT,NSE,POINT (-114.12344172656832 51.159881735351235)
SOUTHLAND DR SW,OAKMOOR DR SW,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.1146086361016 50.96138069844243)
UXBRIDGE DR NW,ULSTER RD NW,REGULAR,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-114.1293819990496 51.06988041319016)
20 ST SW,44 AVE,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.1093230051993 51.01423530619093)
28 ST SW,17 AV SW,RSM,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.12804196524323 51.03780522330121)
ACADIA DR SE,WILLINGDON BLVD SE,SCHOOL,STOP LINE,2,PAINT,EW,POINT (-114.04139929831348 50.95170245732004)
CANYON MEADOWS DR SE,DEER RIDGE DR SE E LEG,SIGNALIZED,RIGHT TURN,2,PAINT,NS,POINT (-114.01745232513112 50.9320486829385)
ACADIA DR SE,ATHENS RD SE,SCHOOL,LADDER CROSSWALK,2,PAINT,NS,POINT (-114.04842264576865 50.966104194639165)
17 AVE SW,34 ST SW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.13689960015745 51.037737470235435)
JAMES MCKEVITT RD SW,EVERGREEN ST SW,MULTIWAYS,RIGHT TURN,1,PAINT,N,POINT (-114.09482001445262 50.921338887934766)
CENTRE ST N,LIVINGSTON AV NE,RSM,STOP LINE,1,PAINT,S,POINT (-114.07130518198043 51.18666375609651)
19 ST SW,48 AVE SW,MULTIWAYS,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.10633517976297 51.010617250700115)
9 AV SE,6 ST SE & 8 ST SE,MID BLOCK,MULTI USE XWALK,1,MMA,N,POINT (-114.0446440523916 51.04384613443816)
BRAESIDE DR SW,107 AVE SW,SCHOOL,STOP LINE,2,PAINT,EW,POINT (-114.1030253904671 50.9570912399056)
58 AVE SE,4 ST SE,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.05375640857497 51.00139776127821)
48 AVE NW,77 ST NW,MULTIWAYS,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.19932815875725 51.09587962254781)
EVANSTON WAY NW,EVANSDALE WAY NW,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.10542879255702 51.17367322626934)
SABLE DR SE,REDWOOD CR SE,SCHOOL,LADDER CROSSWALK,1,PAINT,S,POINT (-113.98681026643469 51.033055274778754)
CENTRE ST N,176 AVE N,RSM,STOP LINE,1,PAINT,S,POINT (-114.0713175361407 51.212400602364994)
GLENMORE TR SE,31 ST SE,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-113.98834003847618 50.97958882268869)
AERO GA NE,11 ST NE,RSM,RIGHT TURN,1,PAINT,E,POINT (-114.03896231045728 51.120354580361465)
MEMORIAL DR NE,44 ST NE,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.96995831275832 51.05283347249656)
42 AV SW,15 ST SW,RSM,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.09757973216793 51.01604753452425)
COUNTRY HILLS BLVD NE,CORNERSTONE ST NE,RSM,REGULAR CROSSWALK,2,PAINT,NS,POINT (-113.94240602616523 51.15428986050929)
ROSEHILL DR NW,ROSEWOOD RD NW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.08947023753085 51.077081295101294)
17A ST NE,10 AVE NE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-114.01760407120358 51.06231706875862)
27 ST SE,11 AVE SE,REGULAR,REGULAR CROSSWALK,2,PAINT,EW,POINT (-113.99553102440342 51.042867985167675)
7 AVE SW,MACLEOD TR S,DOWNTOWN,STOP LINE,3,MMA,EW,POINT (-114.0580323220358 51.04637651462255)
HAMPTONS BLVD NW,HAMPTONS TERRACE NW,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.14709893949367 51.14377437589318)
AUBURN BAY BLVD SE,AUBURN BAY ST,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-113.95101686712857 50.88661911264379)
ST GEORGES DR NE,MEMORIAL DR,SIGNAL,REGULAR CROSSWALK,1,MMA,W,POINT (-114.03192522718842 51.04757450737366)
TEMPLE DR NE,56 ST NE,SCHOOL,LADDER CROSSWALK,2,PAINT,SW,POINT (-113.9521501338153 51.08535490930421)
60 ST NE,SADDLEHORN DR NE,RSM,RIGHT TURN,2,PAINT,EW,POINT (-113.94676633960437 51.12946330729928)
VARSITY DR NW,41 ST NW,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.14893058139496 51.09230898112307)
SUNMILLS DR SE,SUNWOOD GATE SE,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.03036830693415 50.89778143641295)
BOWNESS RD NW,61 ST NW,REGULAR,REGULAR CROSSWALK,2,PAINT,EW,POINT (-114.1763092209828 51.084064633783015)
36 ST SE,8 AVE SE,SIGNAL,REGULAR CROSSWALK,2,PAINT,NE,POINT (-113.98159700289976 51.04516493544168)
ACADIA DR SE,WILLOW PARK DR SE,CORRIDOR,STOP LINE,1,PAINT,W,POINT (-114.04410488644837 50.95994404521159)
MARTINDALE BLVD NE,MARTINDALE GATE NE,MULTIWAYS,RIGHT TURN,1,PAINT,E,POINT (-113.96523690833898 51.11244929992014)
24 ST SW,EVERSYDE AVE,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.11709145109718 50.90808708785976)
HERITAGE DR SW,5 ST SW,CORRIDOR,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.07917020392162 50.97956306766671)
SUPERIOR AVE SW,SENLAC ST SW,MULTIWAY STOP,REGULAR CROSSWALK,2,PAINT,NW,POINT (-114.10497276962695 51.03935826425676)
36 ST NE,4 AVE NE,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-113.98167404821037 51.05523330164862)
PEIGAN TR,26 ST,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-113.99914791447681 51.015355452256735)
BOWNESS RD NW,67 ST NW,RSM,MULTI USE XWALK,1,PAINT,N,POINT (-114.18708172824792 51.08887082065468)
5 AVE SW,4 ST SW,DOWNTOWN,STOP LINE,2,MMA,SW,POINT (-114.07147223499949 51.048628108961964)
SAGE HILL BLVD NW,SAGE HILL GATE NW,RSM,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-114.14499080034948 51.17110534467425)
36 ST SE,30 AVE SE,SIGNAL,RIGHT TURN,2,PAINT,EW,POINT (-113.98158250742395 51.02695287889869)
HOME RD NW,17 AVE NW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.16439437003845 51.07415311291956)
LAKE BONAVISTA DR SE,LAKE ARROW RD SE,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.04158277386549 50.9347701714553)
REDSTONE AVE NE,REDSTONE BLVD,RSM,REGULAR CROSSWALK,3,PAINT,SEW,POINT (-113.95103621813126 51.1729350361812)
13 AV SW,CENTRE ST S,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.0633867715472 51.04047874179199)
SHANNON AVE SW,SHANNON GARDEN SW,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.097576675909 50.90934805279798)
MIDRIDGE DR SE,153 AVE SE,MULTIWAY STOP,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.06240904707154 50.91618266818769)
51 AVE SW,4 ST SW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.0715185902491 51.00782234979014)
6 AVE SW,8 ST SW,DOWNTOWN,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.0811311152659 51.047970274748224)
JAMES MCKEVITT RD SW,FISH CREEK BLVD SW,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.10006910563465 50.91764007802434)
ARBOUR LAKE WAY NW,ARBOUR SUMMIT CLOSE NW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.18889079410704 51.137667123618485)
41 ST SE,DOVERVILLE CR SE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-113.97422932981266 51.028710851149654)
AMIENS RD SW,PASSCHENDAELE AV SW,MULTIWAY STOP,STOP LINE,4,PAINT,NSEW,POINT (-114.11440318072204 51.01448088031109)
9 ST NE,MCPHERSON RD NE,REGULAR,STOP LINE,1,PAINT,W,POINT (-114.04036296175347 51.05001860880446)
SUNVALE  DR SE,SUNDOWN RD SE,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.05028843210185 50.89961456386419)
SPRUCE DR SW,WORCESTER DR SW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.15924347423363 51.05233800355744)
CANYON MEADOWS DR SE,BONAVENTURE DR,SIGNAL,REGULAR CROSSWALK,2,PAINT,NW,POINT (-114.06261243046676 50.93022613931631)
FAIRMOUNT DR SE,90 AVE SE,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.05920314701467 50.97058990660283)
19 ST NW,NORTHMOUNT DR NW,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.10911739705291 51.08754604537275)
BONAVENTURE DR SE,SOUTHCENTRE EAST ENT,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.06028454831231 50.952266028740176)
ARBOUR LAKE DR NW,ARBOUR CREST CLOSE NW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.20297309407236 51.13383009730342)
TEMPLE DR NE,ANNE FOOT SCHOOL,SCHOOL,LADDER CROSSWALK,1,PAINT,MID,POINT (-113.93979893234909 51.085630702696065)
26 ST SE,DOVERGLEN CR SE,RSM,REGULAR CROSSWALK,2,PAINT,NW,POINT (-113.99922537037621 51.02092760160557)
162 AVE SW,24 ST SW,SIGNALIZED,RIGHT TURN,2,PAINT,NS,POINT (-114.11719184812723 50.90680749529103)
64 AVE NE,54 ST NE,SIGNAL,RIGHT TURN,2,PAINT,NS,POINT (-113.9558991222788 51.11061970196727)
EDGEPARK BLVD NW,EDGEBYNE CR NW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.15606991747215 51.128841714560274)
WENTWORTH DR SW,WENTWORTH RISE SW,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.21344071537948 51.05678145706112)
7 AVE SW,5 ST SW,DOWNTOWN,STOP LINE,4,MMA,NSEW,POINT (-114.07381672692082 51.04680602383794)
WOODFIELD WAY SW,WOODFIELD CR N LEG,SCHOOL,LADDER CROSSWALK,2,PAINT,NS,POINT (-114.12816459634507 50.937829520824984)
11A ST NE,CENTRE AV NE,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.0350425503499 51.052360352685724)
4 ST NW,53 AVE NW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.07146266887317 51.1003475043074)
SKYVIEW RANCH DR NE,52 ST NE,SCHOOL,REGULAR CROSSWALK,3,PAINT,SEW,POINT (-113.95837042509817 51.15795781526548)
MCKENZIE LAKE WAY SE,MCKENZIE DR SE,REGULAR,STOP LINE,1,PAINT,S,POINT (-113.98220119249665 50.90692287347322)
10 ST NW,32 AVE NW,REGULAR,RIGHT TURN,2,PAINT,NS,POINT (-114.08608232458072 51.08149996870035)
70 AVE SW,11 ST SW,MULTIWAYS,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.08854121411191 50.99053055804992)
8 AVE NE,17A ST NE,CORRIDOR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.01759689162512 51.059755696190976)
LAKE FRASER DR SE,AT LRT ENTRANCE,CORRIDOR,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.06679905830681 50.93676053335015)
CROWFOOT CIRCLE NW,CROWFOOT PARADE NW,RSM,REGULAR CROSSWALK,4,PAINT,NSSE,POINT (-114.20780403260014 51.1246435640008)
14 ST NW,20 AVE NW,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.09472801275925 51.07052734446756)
STRATHCONA DR SW,STRATHAVEN GT SW,SCHOOL,LADDER CROSSWALK,2,PAINT,NS,POINT (-114.18089912595154 51.046691371655946)
130 AVE SE,DOUGLASDALE BLVD SE,MULTIWAYS,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.98363086873442 50.931911317581196)
TEMPLE DR NE,55 ST NE,REGULAR,REGULAR CROSSWALK,2,PAINT,EW,POINT (-113.95243562814898 51.09177967122578)
SHAGANAPPI TR NW,SAGE HILL BLVD NW,SIGNALIZED,RIGHT TURN,2,PAINT,NE,POINT (-114.15285744547461 51.17043121120111)
14 ST NW,MEMORIAL DR NW,CORRIDOR,LADDER CROSSWALK,1,PAINT,E,POINT (-114.09451195858975 51.04979205072279)
36 ST NE,16 AVE NE,SIGNAL,RIGHT TURN,2,PAINT,SW,POINT (-113.98168341933365 51.0681838370928)
SUPERIOR AVE SW,SCOTLAND ST SW,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-114.10902890814042 51.04155691376841)
MOUNT ROYAL GATE SW,RICHARD RD SW,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.12940409605974 51.00870875344883)
KENSINGTON RD NW,19 ST NW,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.10555883488242 51.052505425183895)
PRESTWICK AVE SE,PRESTWICK BLVD SE,RSM,REGULAR CROSSWALK,2,PAINT,NS,POINT (-113.96597773424014 50.922194911154016)
COUNTRY HILLS BLVD NW,FIRST INT WEST/112 AVE NW,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-114.2157622875881 51.15218487697212)
52 ST SE,26 AVE SE,RSM,RIGHT TURN,2,PAINT,SW,POINT (-113.95858652408802 51.030632427212595)
CRANSTON AVE SE,CRANSTON RD SE,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-113.97890415811871 50.87978741289347)
ROCKY RIDGE BLVD NW,ROCKYVALLEY DR NW,RSM,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.24925873015957 51.14946386890395)
50 AVE SE,W. OF 1 ST   &   LRT XING,SIGNAL,"""X"" RRXING",4,PAINT,EW,POINT (-114.06406713522257 51.0086384259537)
MEADOWVIEW RD SW,MOOR ST SW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.0785313884034 51.00037776820299)
WOODBINE BLVD SW,WOODMOUNT RD SW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.12589414683157 50.94308414015993)
24 AVE NE,RUNDLEHORN DR NE,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-113.94099541850002 51.07430018207245)
RICHMOND RD SW,26 AVE SW,RSM,STOP LINE,1,PAINT,N,POINT (-114.11520700762111 51.03044394389152)
2 ST NE,8 AVE NE,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.05764446399 51.059753642590664)
88 AVE NE,SAVANNA ST NE,SIGNALIZED,RIGHT TURN,2,PAINT,NS,POINT (-113.95232727037929 51.13256729901442)
RICHMOND RD SW,CITY WORKS ROAD,SIGNAL,RIGHT TURN,3,PAINT,SEW,POINT (-114.17275671502682 51.01658773116894)
40 AVE NW,49 ST NW,SIGNAL,RIGHT TURN,1,PAINT,S,POINT (-114.1584589166609 51.088237310819856)
93 ST SW,ASPEN HILLS DR SW,MULTIWAY STOP,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-114.22256619910824 51.04260253869814)
MIDLAKE BLVD SE,MIDRIDGE DR SE,SCHOOL,LADDER CROSSWALK,2,PAINT,NE,POINT (-114.05098605235771 50.91434814607164)
ACADIA DR SE,120 AVE SE,SCHOOL,LADDER CROSSWALK,3,PAINT,SEW,POINT (-114.04249775229954 50.945040076096916)
41 ST SE,BETWEEN 16 AVE AND 17 AVE,MID BLOCK,PARKING STALLS,18,PAINT,W,POINT (-113.9742927890486 51.038740441815996)
MACLEOD TR S,71 AVE SE,SIGNAL,RIGHT TURN,2,PAINT,EW,POINT (-114.07153453107586 50.98963638749378)
