SEGMENT_ID,BUILT_STATUS,FULL_NAME,SPEED_LIMIT,CTP_CLASS,MULTILINESTRING,geometry
654609,Built,ARBOUR CREST DR NW,50.0,Collector,"MULTILINESTRING ((-114.2084076 51.1351282, -114.2084115 51.1355194, -114.20841530000001 51.1359106, -114.2084175 51.1361275))","MULTILINESTRING ((275546.76205559773 5669747.323297309, 275548.3874644022 5669790.824651977, 275550.0198824691 5669834.325703326, 275550.91846828465 5669858.445052886))"
37987,Built,76 AV SE,50.0,Collector,"MULTILINESTRING ((-114.0087522 50.9850439, -114.00806320000001 50.9850425))","MULTILINESTRING ((288829.2697685041 5652471.523902476, 288877.6120036788 5652469.393979611))"
104819,Built,VALLEY RIDGE BV NW,50.0,Collector,"MULTILINESTRING ((-114.2497159 51.092333100000005, -114.2496975 51.0922712, -114.2496821 51.0922229, -114.24965810000002 51.0921296, -114.2496441 51.0920732, -114.2496326 51.0920237, -114.2496286 51.0920003))","MULTILINESTRING ((272447.3138818451 5665116.790417447, 272448.2979646048 5665109.852215755, 272449.13883029844 5665104.435176075, 272450.36073121015 5665093.988984062, 272451.0638096692 5665087.675815863, 272451.62576350593 5665082.137438455, 272451.7908595775 5665079.523739193))"
101423,Built,EDGEBROOK DR NW,50.0,Collector,"MULTILINESTRING ((-114.1351296 51.13060920000001, -114.1352041 51.130556, -114.1352646 51.1305177, -114.1353323 51.1304705, -114.1353999 51.1304322, -114.1354747 51.1303961, -114.1356101 51.1303286, -114.1367564 51.1298289))","MULTILINESTRING ((280650.6073590343 5669023.799680899, 280645.1438474544 5669018.107625031, 280640.73027156387 5669014.030257437, 280635.7708492768 5669008.984951232, 280630.860610213 5669004.928772727, 280625.4571508992 5669001.138655085, 280615.66579260834 5668994.03857379, 280533.111171989 5668941.907084231))"
40273,Built,CROYDON RD NW,40.0,Residential Street,"MULTILINESTRING ((-114.0843794 51.085814000000006, -114.084453 51.0857695, -114.0848174 51.085467, -114.0851817 51.0851645, -114.0855456 51.0848601, -114.08593070000002 51.0845429))","MULTILINESTRING ((283991.75053396856 5663893.673861024, 283986.38973294816 5663888.942798492, 283959.46471182187 5663856.383277681, 283932.54636697215 5663823.82359589, 283905.6468452582 5663791.051646214, 283877.2028686272 5663756.919102635))"
93763,Built,EDGEPARK BV NW,50.0,Collector,"MULTILINESTRING ((-114.1581608 51.1316858, -114.1581367 51.1315876, -114.1581125 51.1314996, -114.158073 51.13136850000001, -114.1580455 51.13128050000001, -114.1579927 51.1311377, -114.1579673 51.1310701, -114.1579347 51.1309891, -114.1579039 51.1309166, -114.1578745 51.1308528, -114.15783460000002 51.1307671, -114.1577978 51.1306929, -114.1577546 51.1306048, -114.1577318 51.13056360000001))","MULTILINESTRING ((279044.71593895345 5669212.441509187, 279045.9327059075 5669201.4521513, 279047.20518842805 5669191.596432116, 279049.34205932583 5669176.903292169, 279050.84539089014 5669167.037658418, 279053.8567383612 5669151.003862599, 279055.31061901175 5669143.412418162, 279057.20414863026 5669134.309655984, 279059.0123688112 5669126.157252128, 279060.7642125172 5669118.976238647, 279063.1459537905 5669109.329044015, 279065.36577697133 5669100.969625383, 279067.9669129984 5669091.045709296, 279069.3650346042 5669086.39698218))"
113987,Built,SCURFIELD DR NW,50.0,Collector,"MULTILINESTRING ((-114.22288370000001 51.118837, -114.2229166 51.1186904, -114.2229431 51.1185915, -114.222963 51.1185168, -114.2229801 51.1184524, -114.2229923 51.1183858, -114.2230035 51.1183302, -114.2230166 51.1182572, -114.2230269 51.1181908, -114.2230361 51.1181017, -114.2230405 51.118027, -114.223045 51.1179627, -114.2230465 51.1179038, -114.2230451 51.1178124, -114.2230428 51.1177257, -114.2230366 51.1176347, -114.2230265 51.1175371, -114.2230106 51.1174372, -114.2229928 51.1173395, -114.222976 51.1172474, -114.22294560000002 51.1171441, -114.2229172 51.1170505, -114.2228889 51.1169766, -114.2228595 51.1169022))","MULTILINESTRING ((274454.8759868563 5667980.540351607, 274451.85969434807 5667964.343908931, 274449.5236236399 5667953.430590339, 274447.7672583007 5667945.187315058, 274446.25699041237 5667938.080491125, 274445.0788390266 5667930.7140677115, 274444.02425747964 5667924.567434129, 274442.75194304076 5667916.492291303, 274441.7076985901 5667909.142274895, 274440.62979609135 5667899.265353504, 274439.95791166194 5667890.974540701, 274439.3297107802 5667883.840190032, 274438.93772893044 5667877.296949533, 274438.5902772467 5667867.131829154, 274438.3287019301 5667857.486441738, 274438.3190506569 5667847.351066962, 274438.55011708126 5667836.470016697, 274439.1757984871 5667825.315489323, 274439.9451472428 5667814.399706115, 274440.67182165326 5667804.109535434, 274442.2955065932 5667792.53256313, 274443.8265301138 5667782.040062794, 274445.44656077994 5667773.737894709, 274447.14112841093 5667765.376769327))"
765131,Built,16 ST SW,40.0,Residential Street,"MULTILINESTRING ((-114.0986508 51.038259, -114.09865 51.0382294))","MULTILINESTRING ((282769.8766601129 5658648.937295558, 282769.7942185284 5658645.644287599))"
46597,Built,MAIDSTONE DR NE,40.0,Residential Street,"MULTILINESTRING ((-113.9492494 51.0574777, -113.9493802 51.0570738))","MULTILINESTRING ((293327.24521113886 5660355.410419029, 293316.28153184324 5660310.874468374))"
121297,Built,EDGEBROOK CV NW,40.0,Residential Street,"MULTILINESTRING ((-114.1331047 51.1358695, -114.1336179 51.1361125, -114.133675 51.1361391))","MULTILINESTRING ((280817.1729432543 5669602.554314787, 280782.4301529166 5669631.098855784, 280778.5625311185 5669634.226250109))"
190269,Built,COLERIDGE RD NW,40.0,Residential Street,"MULTILINESTRING ((-114.0911543 51.0880028, -114.09176520000001 51.0878475, -114.0923761 51.0876923, -114.0924269 51.0876501))","MULTILINESTRING ((283527.60588184244 5664156.916546477, 283484.1079075035 5664141.449135375, 283440.6101201711 5664125.993201613, 283436.8561021589 5664121.45129003))"
83598,Built,CHARDIE PL SW,40.0,Residential Street,"MULTILINESTRING ((-114.0927717 50.983721700000004, -114.0930472 50.983721, -114.09332280000001 50.9837203, -114.0935984 50.9837196, -114.0938739 50.9837188))","MULTILINESTRING ((282927.32066745404 5652568.681055317, 282907.98474670365 5652569.4148739865, 282888.64180911554 5652570.1490597045, 282869.2988719903 5652570.883317876, 282849.9624857551 5652571.606236817))"
804970,Built,ELBOW DR SW,,Parkway,"MULTILINESTRING ((-114.072832 51.029694, -114.0728831 51.02969, -114.0729283 51.0296853, -114.0729667 51.02968, -114.0730109 51.0296733, -114.0730517 51.0296659, -114.0730888 51.0296577, -114.073135 51.0296467, -114.0731354 51.0296466))","MULTILINESTRING ((284539.78930650034 5657620.901049524, 284536.18844441866 5657620.605880607, 284532.9979459563 5657620.215631107, 284530.2813684982 5657619.738783927, 284527.1516922227 5657619.123270021, 284524.2571198215 5657618.419989512, 284521.61821838515 5657617.616947063, 284518.3283782188 5657616.529255552, 284518.2998726502 5657616.519308933))"
302004,Built,WOODBRIAR CI SW,40.0,Residential Street,"MULTILINESTRING ((-114.1383618 50.9442564, -114.138369 50.94422740000001, -114.138473 50.9438098))","MULTILINESTRING ((279541.2911071156 5648316.672895233, 279540.6481729691 5648313.470541992, 279531.36738326447 5648267.357619988))"
44971,Built,39 ST SE,40.0,Residential Street,"MULTILINESTRING ((-113.9772125 51.03776400000001, -113.9772106 51.0376513, -113.977207 51.0375023, -113.9772033 51.03735330000001))","MULTILINESTRING ((291279.41750568 5658242.652818041, 291279.04399835266 5658230.11821916, 291278.62645172584 5658213.543216689, 291278.2159174908 5658196.96793106))"
110894,Built,TUSCANY VALLEY DR NW,40.0,Residential Street,"MULTILINESTRING ((-114.2454956 51.1267356, -114.2455185 51.1267271, -114.2455413 51.1267188, -114.2455818 51.1267058, -114.2456274 51.1266916, -114.24566570000002 51.1266818, -114.24608400000001 51.1265778))","MULTILINESTRING ((272911.56091279833 5668928.207219903, 272909.9172392929 5668927.333010963, 272908.28154222853 5668926.480727374, 272905.3845828661 5668925.160617096, 272902.1249643124 5668923.722857308, 272899.39760735026 5668922.751694574, 272869.62512459373 5668912.482171174))"
